ExperimentNumber,ColonyID,Size,MinorAxisLength,Eccentricity,MeanIntensity,Radius,Type
1,42,73,7.04637152932023,0.851680104802461,0.343700720080558,4.82043791490117,3
1,43,207,10.9390239790555,0.893545262602167,0.344710446441135,8.11727456970901,3
1,44,47,7.05847572324272,0.578453055225622,0.44244105409154,3.86788891394752,3
1,45,95,10.6203144815675,0.383102796605759,0.367267683772538,5.49903984232339,3
1,46,18,2.3094010767585,0.974996043043569,0.345353675450763,2.3936536824086,3
1,47,95,6.59840166220109,0.935364042568673,0.37253814147018,5.49903984232339,3
1,48,115,11.7076449900486,0.376063952396032,0.396671289875173,6.0502592432999,3
1,49,108,9.9078047506254,0.716333788867891,0.434350439204808,5.86323014283504,3
1,50,91,8.38522954009244,0.803359484257728,0.343158921522306,5.38202560777306,3
1,51,25,5.77350269189626,0,0.190069348127601,2.82094791773878,3
1,52,132,12.0092763522032,0.526793402620729,0.403490522422561,6.48204481442857,3
1,53,99,8.60316203350398,0.819251099374982,0.381078468457109,5.61361547776433,3
1,54,136,10.9689394602122,0.729050014404854,0.493309945337358,6.57952464247954,3
1,55,121,9.67388444649474,0.823216890478885,0.371534026432526,6.20608541902532,3
1,56,19,4.44818285707316,0.619000533211531,0.496970581794292,2.45924537968297,3
1,57,159,10.468713107629,0.843815060530396,0.49370633030644,7.1141599576635,3
1,58,119,7.33458548826567,0.936250199932167,0.458863156913251,6.15458174499869,3
1,59,84,9.96854567666345,0.473040053933917,0.40446469850076,5.17088294582641,3
1,60,65,5.52464339180224,0.936276726614142,0.508631174650592,4.54864184146723,3
1,61,61,5.35269175223548,0.938531544387471,0.505536481662536,4.40646151205377,3
2,1,49,5.41371810733267,0.887326404177866,0.496810361492364,3.94932708483429,3
2,2,21,3.46410161513775,0.903507902905251,0.359301501385399,2.5854414729132,3
2,3,37,5.21094313961175,0.82653238650735,0.353728559411915,3.43183125878885,3
2,4,200,10.2814402361932,0.912626799151878,0.421522327469554,7.97884560802865,3
2,5,74,9.41296343127828,0.397313600937127,0.428830047909885,4.85334230995512,3
2,6,136,9.58735573429727,0.875128986596431,0.483970787232349,6.57952464247954,3
2,7,84,8.84146835366662,0.699427238402231,0.271264256717572,5.17088294582641,3
2,8,190,13.6274075542275,0.649076796788723,0.439562709208746,7.77681672504375,3
2,9,65,7.40211124281396,0.756402019108014,0.418486520245654,4.54864184146723,3
2,10,91,9.17231672053055,0.6998291520898,0.298086216895418,5.38202560777306,3
2,11,111,7.33355086150155,0.927600270470205,0.399651342817784,5.94410610322534,3
2,12,54,7.11083701643265,0.694043448341773,0.376534856913747,4.14592979365603,3
2,13,84,9.86604900897221,0.451153441337313,0.352148978671306,5.17088294582641,3
2,14,32,6.08827607396882,0.463215566153198,0.294654939106901,3.19153824321146,3
2,15,29,5.62052170324205,0.567607113912866,0.205123419345807,3.03825388987325,3
2,16,46,5.50417859650317,0.864802491509055,0.360004706712949,3.82651992866291,3
2,17,16,4.61880215351701,0,0.204668470906631,2.25675833419103,3
2,18,33,5.50213230984158,0.713155124183539,0.390207897650388,3.24102240721429,3
2,19,28,5.57203903859431,0.537779962981452,0.189638507635801,2.98541066072092,3
2,20,54,8.29379022418007,0.183564025818254,0.278604721094572,4.14592979365603,3
2,21,76,5.4566981683577,0.958288547624411,0.414001851719963,4.91849075936594,3
2,22,78,8.48572663957134,0.705028075712796,0.371829568717255,4.98278748516688,3
2,23,60,8.3234126683772,0.445481182778782,0.320387911592242,4.37019372236832,3
2,24,12,3.46410161513775,0.661437827766148,0.351826792963464,1.95441004761168,3
2,25,154,12.1824972992514,0.663266755599633,0.419327627717343,7.00140860629515,3
2,26,187,13.3015223852865,0.674682389600631,0.362254238637268,7.71517651880816,3
2,27,34,4.71552120294603,0.86892269087737,0.363527819788267,3.28976232123977,3
2,28,54,8.04616310676963,0.365389632596116,0.277301658898411,4.14592979365603,3
2,29,47,7.39535493433345,0.440366087006358,0.337373679209973,3.86788891394752,3
2,30,126,6.31886848322796,0.970287997878408,0.525398973301544,6.33301236846713,3
2,31,40,6.73300329224139,0.5064637955552,0.220838971583221,3.56824823230554,3
2,32,177,14.42377231591,0.398228586052214,0.400648303173475,7.50605421340207,3
2,33,75,9.38364870269398,0.415603972909327,0.374542174109157,4.8860251190292,3
2,34,49,7.40125549517018,0.504715370941649,0.335699096959487,3.94932708483429,3
2,35,69,6.76644993366228,0.857976372688924,0.366299935282697,4.6865106579076,3
2,36,146,13.3858458877066,0.291425140684083,0.395721726880086,6.81712867583072,3
2,37,69,8.28012175477164,0.639330413868458,0.367927673511012,4.6865106579076,3
2,38,210,10.7227872365545,0.906307780784575,0.234512533024035,8.17588381146626,3
2,39,56,7.59780838202794,0.607548726929054,0.40269186158902,4.22200824564475,3
2,40,102,10.5851468752038,0.534135977129823,0.366870970309639,5.69803548521301,3
2,41,89,5.69815398956827,0.960307196304152,0.397287558346384,5.3225538860924,3
2,42,18,2.3094010767585,0.974996043043569,0.428281461434371,2.3936536824086,3
2,43,171,12.6548427151158,0.719330464974363,0.360673899453189,7.3777361390489,3
2,44,44,7.39462242250068,0.285017466990252,0.295331529093369,3.74241031850956,3
2,45,123,9.62525725399716,0.810859210005641,0.320197586278975,6.25716517287232,3
2,46,24,3.91578004149024,0.873433797112377,0.450270635994587,2.76395319577068,3
2,47,157,12.5164601308384,0.629666056060132,0.419684028166829,7.06927521962861,3
2,48,67,9.22009359894637,0.207475510597311,0.419081857290005,4.61809077155419,3
2,49,107,11.1444004489087,0.437084658804997,0.445234150721485,5.8360224315595,3
2,50,199,14.3920272178287,0.588688199773053,0.454382875133448,7.95887349758585,3
2,51,148,12.7565683262273,0.516201023917252,0.458252569213327,6.8636625175777,3
2,52,100,8.91610268812215,0.792970750855829,0.382422192151556,5.64189583547756,3
2,53,39,6.57750572588627,0.524161193924502,0.308490336907116,3.52336281997296,3
2,54,135,7.727762412615,0.941472418437628,0.347065604169799,6.55529058355247,3
2,55,69,9.1831771763074,0.315511114685648,0.432213527877469,4.6865106579076,3
2,56,180,8.19554279357235,0.957274412706537,0.496444143737784,7.56939756606048,3
2,57,12,3.46410161513775,0.661437827766148,0.163283716734326,1.95441004761168,3
2,58,82,8.36413405078579,0.750230430147318,0.43380969668966,5.10895396995029,3
2,59,56,7.68421325801243,0.58053546207481,0.340711386042915,4.22200824564475,3
2,60,77,9.52530276458024,0.40576919434979,0.396147830518602,4.95074350336915,3
2,61,172,8.76558071751501,0.938062965257277,0.383217421405419,7.39927702033192,3
3,1,125,11.8134093017509,0.584048710901288,0.383024930747922,6.3078313050504,3
3,2,27,3.16617929972778,0.962892425325111,0.382271468144044,2.93161507141752,3
3,3,39,5.81678791441261,0.752714487987315,0.329852972512252,3.52336281997296,3
3,4,39,6.57750572588626,0.524161193924502,0.272959727253356,3.52336281997296,3
3,5,19,4.44818285707316,0.619000533211531,0.22000291587695,2.45924537968297,3
3,6,155,11.0090281786455,0.793562646906719,0.406871593244571,7.02410366940064,3
3,7,16,4.61880215351701,0,0.180141966759003,2.25675833419103,3
3,8,96,8.55908378981223,0.806380202990728,0.372504039704524,5.52790639154137,3
3,9,88,4.98970536494196,0.978871243163933,0.388740241752707,5.29256742840123,3
3,10,149,10.4680553188275,0.821638211202603,0.387160943687371,6.88681152939332,3
3,11,146,12.2020663888435,0.628356380620122,0.500189731719349,6.81712867583072,3
3,12,49,4.97658911544775,0.924822429669561,0.376985697326022,3.94932708483429,3
3,13,93,6.24063968931706,0.94739543773345,0.481949781074077,5.44084730672462,3
3,14,44,5.2391597525586,0.881089375192376,0.394327625283304,3.74241031850956,3
3,15,157,7.68253876492964,0.956950549162091,0.371835135945798,7.06927521962861,3
3,16,149,13.2596276019683,0.395404945802141,0.165424157355593,6.88681152939332,3
3,17,18,4.371625682868,0.598505601664579,0.164358264081256,2.3936536824086,3
3,18,60,6.44049435744906,0.847761416785726,0.356786703601108,4.37019372236832,3
3,19,117,10.9875423505044,0.611880317302009,0.374730686365035,6.10264341769233,3
3,20,148,8.0471067531211,0.956466868554654,0.427350827281575,6.8636625175777,3
3,21,52,7.66798156491802,0.510799029189416,0.460393138717238,4.06842894512822,3
3,22,120,11.305653651805,0.563654636146227,0.311472760849492,6.18038723237103,3
3,23,19,4.44818285707316,0.619000533211531,0.197259075667007,2.45924537968297,3
3,24,157,12.2103482595737,0.673485252068047,0.346330963177303,7.06927521962861,3
3,25,169,11.9573918686016,0.752645674323782,0.362667803111016,7.33446458612083,3
